Week,Python: (United States),SQL: (United States),R: (United States),C: (United States)
3/2/2014,45,70,25,34
3/9/2014,45,70,25,33
3/16/2014,43,71,23,33
3/23/2014,42,70,23,35
3/30/2014,44,70,24,33
4/6/2014,45,72,26,35
4/13/2014,44,67,26,34
4/20/2014,46,71,28,36
4/27/2014,44,70,25,33
5/4/2014,43,71,25,30
5/11/2014,43,69,24,28
5/18/2014,42,71,25,29
5/25/2014,37,65,23,29
6/1/2014,43,74,25,30
6/8/2014,42,74,24,30
6/15/2014,43,72,24,36
6/22/2014,46,74,24,36
6/29/2014,39,63,22,30
7/6/2014,43,72,23,30
7/13/2014,46,72,23,29
7/20/2014,45,73,24,29
7/27/2014,43,69,23,29
8/3/2014,42,73,23,27
8/10/2014,42,73,24,27
8/17/2014,42,74,23,29
8/24/2014,43,71,24,29
8/31/2014,43,60,25,30
9/7/2014,47,72,29,34
9/14/2014,50,71,28,35
9/21/2014,49,72,28,35
9/28/2014,49,69,27,34
10/5/2014,51,72,28,34
10/12/2014,47,70,26,34
10/19/2014,47,70,27,31
10/26/2014,49,73,27,33
11/2/2014,48,72,26,33
11/9/2014,49,70,27,31
11/16/2014,50,70,27,32
11/23/2014,37,46,24,29
11/30/2014,46,66,27,30
12/7/2014,43,69,26,31
12/14/2014,43,66,23,28
12/21/2014,31,35,17,24
12/28/2014,28,37,15,23
1/4/2015,40,64,21,27
1/11/2015,43,67,25,29
1/18/2015,44,67,27,31
1/25/2015,49,69,28,33
2/1/2015,49,71,28,36
2/8/2015,49,72,28,33
2/15/2015,50,67,28,34
2/22/2015,48,71,27,34
3/1/2015,50,72,30,34
3/8/2015,49,70,29,33
3/15/2015,49,73,28,31
3/22/2015,49,73,27,32
3/29/2015,47,70,27,30
4/5/2015,51,70,30,31
4/12/2015,52,72,29,34
4/19/2015,52,74,32,33
4/26/2015,52,74,29,32
5/3/2015,52,73,29,29
5/10/2015,48,73,26,28
5/17/2015,49,73,28,27
5/24/2015,45,61,24,27
5/31/2015,51,71,25,27
6/7/2015,53,75,27,27
6/14/2015,52,72,26,28
6/21/2015,58,76,25,27
6/28/2015,51,69,24,28
7/5/2015,53,75,27,26
7/12/2015,54,76,27,25
7/19/2015,57,79,26,26
7/26/2015,55,75,26,26
8/2/2015,52,73,25,25
8/9/2015,53,75,25,25
8/16/2015,50,74,24,25
8/23/2015,55,73,24,25
8/30/2015,53,71,28,30
9/6/2015,52,62,26,29
9/13/2015,60,72,30,33
9/20/2015,61,76,30,33
9/27/2015,56,73,29,32
10/4/2015,60,73,30,34
10/11/2015,59,72,29,32
10/18/2015,58,72,31,32
10/25/2015,58,72,29,32
11/1/2015,59,72,30,32
11/8/2015,58,66,30,30
11/15/2015,58,71,28,30
11/22/2015,46,47,24,26
11/29/2015,55,68,28,29
12/6/2015,56,68,29,30
12/13/2015,50,64,26,25
12/20/2015,38,43,18,21
12/27/2015,35,34,17,20
1/3/2016,50,53,22,22
1/10/2016,52,54,23,25
1/17/2016,55,52,25,27
1/24/2016,63,59,28,30
